,0,class_label,target_label
0,0.335,0,1
1,0.449,0,1
2,0.54,0,1
3,0.802,0,1
4,0.817,0,1
5,0.567,0,1
6,0.617,0,1
7,0.775,0,1
8,0.732,0,1
9,0.859,0,1
10,0.84,0,1
11,0.274,0,1
12,0.491,0,1
13,0.822,0,1
14,0.304,0,1
15,0.901,0,1
16,0.6,0,1
17,0.678,0,1
18,0.484,0,1
19,0.652,0,1
20,0.76,0,1
21,0.442,0,1
22,0.513,0,1
23,0.958,0,1
24,0.832,0,1
25,0.664,0,1
26,0.935,0,1
27,0.663,0,1
28,0.852,0,1
29,0.654,0,1
30,0.787,0,1
31,0.364,0,1
32,0.754,0,1
33,0.647,0,1
34,0.504,0,1
35,0.624,0,1
36,0.622,0,1
37,0.885,0,1
38,0.716,0,1
39,0.726,0,1
40,0.886,0,1
41,0.937,0,1
42,0.868,0,1
43,0.649,0,1
44,0.719,0,1
45,0.834,0,1
46,0.787,0,1
47,0.685,0,1
48,0.557,0,1
49,0.754,0,1
50,0.621,0,1
51,0.597,0,1
52,0.824,0,1
53,0.862,0,1
54,0.53,0,1
55,0.495,0,1
56,0.618,0,1
57,0.725,0,1
58,0.631,0,1
59,0.866,0,1
60,0.822,0,1
61,0.718,0,1
62,0.815,0,1
63,0.957,0,1
64,0.608,0,1
65,0.131,0,1
66,0.622,0,1
67,0.863,0,1
68,0.761,0,1
69,0.772,0,1
70,0.457,0,1
71,0.759,0,1
72,0.888,0,1
73,0.502,0,1
74,0.503,0,1
75,0.772,0,1
76,0.694,0,1
77,0.861,0,1
78,0.853,0,1
79,0.764,0,1
80,0.093,0,1
81,0.248,0,1
82,0.703,0,1
83,0.519,0,1
84,0.714,0,1
85,0.388,0,1
86,0.689,0,1
87,0.584,0,1
88,0.93,0,1
89,0.509,0,1
90,0.63,0,1
91,0.106,0,1
92,0.773,0,1
93,0.472,0,1
94,0.554,0,1
95,0.633,0,1
96,0.703,0,1
97,0.864,0,1
98,0.776,0,1
99,0.849,0,1
100,0.312,0,1
101,0.538,0,1
102,0.395,0,1
103,0.643,0,1
104,0.423,0,1
105,0.714,0,1
106,0.781,0,1
107,0.45,0,1
108,0.44,0,1
109,0.605,0,1
110,0.327,0,1
111,0.773,0,1
112,0.748,0,1
113,0.749,0,1
114,0.602,0,1
115,0.762,0,1
116,0.869,0,1
117,0.785,0,1
118,0.659,0,1
119,0.562,0,1
120,0.591,0,1
121,0.825,0,1
122,0.54,0,1
123,0.794,0,1
124,0.588,0,1
125,0.869,0,1
126,0.503,0,1
127,0.786,0,1
128,0.189,0,1
129,0.852,0,1
130,0.403,0,1
131,0.649,0,1
132,0.675,0,1
133,0.906,0,1
134,0.652,0,1
135,0.655,0,1
136,0.621,0,1
137,0.583,0,1
138,0.531,0,1
139,0.367,0,1
140,0.76,0,1
141,0.118,0,1
142,0.946,0,1
143,0.687,0,1
144,0.505,0,1
145,0.761,0,1
146,0.223,0,1
147,0.451,0,1
148,0.546,0,1
149,0.875,0,1
150,0.279,0,1
151,0.797,0,1
152,0.713,0,1
153,0.841,0,1
154,0.793,0,1
155,0.875,0,1
156,0.578,0,1
157,0.736,0,1
158,0.711,0,1
159,0.802,0,1
160,0.736,0,1
161,0.558,0,1
162,0.673,0,1
163,0.689,0,1
164,0.714,0,1
165,0.387,0,1
166,0.413,0,1
167,0.58,0,1
168,0.639,0,1
169,0.543,0,1
170,0.155,0,1
171,0.589,0,1
172,0.489,0,1
173,0.49,0,1
174,0.908,0,1
175,0.773,0,1
176,0.976,0,1
177,0.966,0,1
178,0.634,0,1
179,0.515,0,1
180,0.692,0,1
181,0.536,0,1
182,0.569,0,1
183,0.796,0,1
184,0.726,0,1
185,0.882,0,1
186,0.781,0,1
187,0.215,0,1
188,0.698,0,1
189,0.756,0,1
190,0.852,0,1
191,0.677,0,1
192,0.452,0,1
193,0.437,0,1
194,0.086,0,1
195,0.773,0,1
196,0.605,0,1
197,0.412,0,1
198,0.465,0,1
199,0.419,0,1
200,0.735,0,1
201,0.415,0,1
202,0.725,0,1
203,0.678,0,1
204,0.866,0,1
205,0.289,0,1
206,0.11,0,1
207,0.516,0,1
208,0.863,0,1
209,0.855,0,1
210,0.727,0,1
211,0.887,0,1
212,0.77,0,1
213,0.438,0,1
214,0.916,0,1
215,0.68,0,1
216,0.276,0,1
217,0.654,0,1
218,0.842,0,1
219,0.696,0,1
220,0.38,0,1
221,0.609,0,1
222,0.675,0,1
223,0.541,0,1
224,0.175,0,1
225,0.572,0,1
226,0.629,0,1
227,0.754,0,1
228,0.866,0,1
229,0.83,0,1
230,0.664,0,1
231,0.881,0,1
232,0.367,0,1
233,0.879,0,1
234,0.624,0,1
235,0.364,0,1
236,0.883,0,1
237,0.227,0,1
238,0.803,0,1
239,0.776,0,1
240,0.731,0,1
241,0.523,0,1
242,0.813,0,1
243,0.809,0,1
244,0.699,0,1
245,0.548,0,1
246,0.591,0,1
247,0.689,0,1
248,0.785,0,1
249,0.78,0,1
250,0.74,0,1
251,0.373,0,1
252,0.826,0,1
253,0.667,0,1
254,0.786,0,1
255,0.834,0,1
256,0.222,0,1
257,0.811,0,1
258,0.57,0,1
259,0.688,0,1
260,0.519,0,1
261,0.68,0,1
262,0.202,0,1
263,0.813,0,1
264,0.547,0,1
265,0.58,0,1
266,0.732,0,1
267,0.399,0,1
268,0.564,0,1
269,0.772,0,1
270,0.497,0,1
271,0.924,0,1
272,0.464,0,1
273,0.357,0,1
274,0.739,0,1
275,0.209,0,1
276,0.927,0,1
277,0.727,0,1
278,0.858,0,1
279,0.454,0,1
280,0.838,0,1
281,0.563,0,1
282,0.003,0,1
283,0.798,0,1
284,0.681,0,1
285,0.945,0,1
286,0.717,0,1
287,0.149,0,1
288,0.136,0,1
289,0.0,1,1
290,0.522,0,1
291,0.824,0,1
292,0.459,0,1
293,0.579,0,1
294,0.583,0,1
295,0.735,0,1
296,0.945,0,1
297,0.641,0,1
298,0.511,0,1
299,0.81,0,1
300,0.482,0,1
301,0.887,0,1
302,0.961,0,1
303,0.596,0,1
304,0.213,0,1
305,0.624,0,1
306,0.768,0,1
307,0.337,0,1
308,0.316,0,1
309,0.609,0,1
310,0.899,0,1
311,0.582,0,1
312,0.332,0,1
313,0.119,0,1
314,0.493,0,1
315,0.424,0,1
316,0.656,0,1
317,0.066,0,1
318,0.846,0,1
319,0.127,0,1
320,0.651,0,1
321,0.776,0,1
322,0.772,0,1
323,0.799,0,1
324,0.64,0,1
325,0.837,0,1
326,0.779,0,1
327,0.258,0,1
328,0.892,0,1
329,0.821,0,1
330,0.752,0,1
331,0.833,0,1
332,0.731,0,1
333,0.635,0,1
334,0.903,0,1
335,0.565,0,1
336,0.545,0,1
337,0.111,0,1
338,0.855,0,1
339,0.498,0,1
340,0.356,0,1
341,0.437,0,1
342,0.752,0,1
343,0.436,0,1
344,0.205,0,1
345,0.829,0,1
346,0.965,0,1
347,0.241,0,1
348,0.425,0,1
349,0.888,0,1
350,0.652,0,1
351,0.815,0,1
352,0.094,0,1
353,0.882,0,1
354,0.699,0,1
355,0.777,0,1
356,0.914,0,1
357,0.626,0,1
358,0.837,0,1
359,0.901,0,1
360,0.728,0,1
361,0.244,0,1
362,0.072,0,1
363,0.77,0,1
364,0.458,0,1
365,0.754,0,1
366,0.031,0,1
367,0.854,0,1
368,0.894,0,1
369,0.815,0,1
370,0.544,0,1
371,0.392,0,1
372,0.657,0,1
373,0.568,0,1
374,0.805,0,1
375,0.558,0,1
376,0.256,0,1
377,0.604,0,1
378,0.613,0,1
379,0.158,0,1
380,0.015,0,1
381,0.959,0,1
382,0.822,0,1
383,0.754,0,1
384,0.428,0,1
385,0.389,0,1
386,0.799,0,1
387,0.07,0,1
388,0.97,0,1
389,0.811,0,1
390,0.579,0,1
391,0.116,0,1
392,0.725,0,1
393,0.551,0,1
394,0.186,0,1
395,0.871,0,1
396,0.462,0,1
397,0.852,0,1
398,0.731,0,1
399,0.354,0,1
400,0.836,0,1
401,0.833,0,1
402,0.865,0,1
403,0.734,0,1
404,0.802,0,1
405,0.604,0,1
406,0.731,0,1
407,0.074,0,1
408,0.645,0,1
409,0.279,0,1
410,0.034,0,1
411,0.208,0,1
412,0.929,0,1
413,0.71,0,1
414,0.322,0,1
415,0.446,0,1
416,0.848,0,1
417,0.968,0,1
418,0.905,0,1
419,0.781,0,1
420,0.787,0,1
421,0.743,0,1
422,0.805,0,1
423,0.631,0,1
424,0.706,0,1
425,0.773,0,1
426,0.596,0,1
427,0.839,0,1
428,0.379,0,1
429,0.694,0,1
430,0.484,0,1
431,0.812,0,1
432,0.703,0,1
433,0.912,0,1
434,0.745,0,1
435,0.667,0,1
436,0.519,0,1
437,0.779,0,1
438,0.472,0,1
439,0.665,0,1
440,0.569,0,1
441,0.346,0,1
442,0.745,0,1
443,0.728,0,1
444,0.484,0,1
445,0.482,0,1
446,0.395,0,1
447,0.908,0,1
448,0.735,0,1
449,0.923,0,1
450,0.705,0,1
451,0.614,0,1
452,0.698,0,1
453,0.47,0,1
454,0.644,0,1
455,0.5,0,1
456,0.848,0,1
457,0.736,0,1
458,0.769,0,1
459,0.291,0,1
460,0.175,0,1
461,0.85,0,1
462,0.353,0,1
463,0.52,0,1
464,0.978,0,1
465,0.644,0,1
466,0.65,0,1
467,0.757,0,1
468,0.649,0,1
469,0.592,0,1
470,0.538,0,1
471,0.391,0,1
472,0.218,0,1
473,0.531,0,1
474,0.695,0,1
475,0.721,0,1
476,0.848,0,1
477,0.863,0,1
478,0.83,0,1
479,0.829,0,1
480,0.681,0,1
481,0.803,0,1
482,0.698,0,1
483,0.876,0,1
484,0.81,0,1
485,0.365,0,1
486,0.745,0,1
487,0.516,0,1
488,0.574,0,1
489,0.649,0,1
490,0.731,0,1
491,0.537,0,1
492,0.94,0,1
493,0.774,0,1
494,0.81,0,1
495,0.454,0,1
496,0.589,0,1
497,0.501,0,1
498,0.752,0,1
499,0.618,0,1
500,0.336,0,1
501,0.699,0,1
502,0.437,0,1
503,0.837,0,1
504,0.63,0,1
505,0.433,0,1
506,0.871,0,1
507,0.81,0,1
508,0.487,0,1
509,0.714,0,1
510,0.057,0,1
511,0.368,0,1
512,0.465,0,1
513,0.436,0,1
514,0.338,0,1
515,0.777,0,1
516,0.583,0,1
517,0.723,0,1
518,0.784,0,1
519,0.758,0,1
520,0.681,0,1
521,0.268,0,1
522,0.378,0,1
523,0.812,0,1
524,0.768,0,1
525,0.51,0,1
526,0.825,0,1
527,0.682,0,1
528,0.72,0,1
529,0.671,0,1
530,0.622,0,1
531,0.695,0,1
532,0.875,0,1
533,0.781,0,1
534,0.834,0,1
535,0.852,0,1
536,0.69,0,1
537,0.683,0,1
538,0.596,0,1
539,0.596,0,1
540,0.82,0,1
541,0.751,0,1
542,0.861,0,1
543,0.564,0,1
544,0.847,0,1
545,0.288,0,1
546,0.835,0,1
547,0.4,0,1
548,0.383,0,1
549,0.746,0,1
550,0.604,0,1
551,0.354,0,1
552,0.056,0,1
553,0.489,0,1
554,0.072,0,1
555,0.702,0,1
556,0.806,0,1
557,0.945,0,1
558,0.889,0,1
559,0.762,0,1
560,0.791,0,1
561,0.381,0,1
562,0.834,0,1
563,0.703,0,1
564,0.107,0,1
565,0.643,0,1
566,0.752,0,1
567,0.432,0,1
568,0.726,0,1
569,0.818,0,1
570,0.259,0,1
571,0.736,0,1
572,0.512,0,1
573,0.536,0,1
574,0.105,0,1
575,0.363,0,1
576,0.591,0,1
577,0.79,0,1
578,0.877,0,1
579,0.816,0,1
580,0.691,0,1
581,0.757,0,1
582,0.728,0,1
583,0.615,0,1
584,0.26,0,1
585,0.564,0,1
586,0.467,0,1
587,0.857,0,1
588,0.275,0,1
589,0.657,0,1
590,0.87,0,1
591,0.679,0,1
592,0.331,0,1
593,0.825,0,1
594,0.3,0,1
595,0.846,0,1
596,0.612,0,1
597,0.739,0,1
598,0.873,0,1
599,0.696,0,1
600,0.836,0,1
601,0.483,0,1
602,0.702,0,1
603,0.567,0,1
604,0.774,0,1
605,0.584,0,1
606,0.731,0,1
607,0.762,0,1
608,0.6,0,1
609,0.723,0,1
610,0.405,0,1
611,0.339,0,1
612,0.606,0,1
613,0.416,0,1
614,0.618,0,1
615,0.812,0,1
616,0.76,0,1
617,0.573,0,1
618,0.384,0,1
619,0.683,0,1
620,0.798,0,1
621,0.863,0,1
622,0.785,0,1
623,0.869,0,1
624,0.306,0,1
625,0.57,0,1
626,0.421,0,1
627,0.691,0,1
628,0.737,0,1
629,0.752,0,1
630,0.602,0,1
631,0.587,0,1
632,0.842,0,1
633,0.53,0,1
634,0.732,0,1
635,0.819,0,1
636,0.657,0,1
637,0.684,0,1
638,0.559,0,1
639,0.654,0,1
640,0.659,0,1
641,0.357,0,1
642,0.491,0,1
643,0.069,0,1
644,0.762,0,1
645,0.936,0,1
646,0.87,0,1
647,0.903,0,1
648,0.461,0,1
649,0.293,0,1
650,0.957,0,1
651,0.813,0,1
652,0.728,0,1
653,0.852,0,1
654,0.845,0,1
655,0.686,0,1
656,0.455,0,1
657,0.903,0,1
658,0.72,0,1
659,0.846,0,1
660,0.937,0,1
661,0.792,0,1
662,0.566,0,1
663,0.547,0,1
664,0.749,0,1
665,0.796,0,1
666,0.67,0,1
667,0.86,0,1
668,0.681,0,1
669,0.869,0,1
670,0.725,0,1
671,0.624,0,1
672,0.363,0,1
673,0.795,0,1
674,0.826,0,1
675,0.51,0,1
676,0.616,0,1
677,0.647,0,1
678,0.12,0,1
679,0.714,0,1
680,0.837,0,1
681,0.823,0,1
682,0.737,0,1
683,0.764,0,1
684,0.916,0,1
685,0.518,0,1
686,0.749,0,1
687,0.689,0,1
688,0.762,0,1
689,0.647,0,1
690,0.466,0,1
691,0.784,0,1
692,0.434,0,1
693,0.879,0,1
694,0.913,0,1
695,0.841,0,1
696,0.603,0,1
697,0.682,0,1
698,0.475,0,1
699,0.621,0,1
700,0.566,0,1
701,0.887,0,1
702,0.618,0,1
703,0.802,0,1
704,0.776,0,1
705,0.701,0,1
706,0.84,0,1
707,0.735,0,1
708,0.887,0,1
709,0.753,0,1
710,0.49,0,1
711,0.73,0,1
712,0.831,0,1
713,0.836,0,1
714,0.65,0,1
715,0.62,0,1
716,0.931,0,1
717,0.751,0,1
718,0.212,0,1
719,0.398,0,1
720,0.237,0,1
721,0.91,0,1
722,0.878,0,1
723,0.639,0,1
724,0.612,0,1
725,0.804,0,1
726,0.763,0,1
727,0.821,0,1
728,0.786,0,1
729,0.768,0,1
730,0.764,0,1
731,0.824,0,1
732,0.484,0,1
733,0.899,0,1
734,0.9,0,1
735,0.747,0,1
736,0.829,0,1
737,0.65,0,1
738,0.762,0,1
739,0.551,0,1
740,0.784,0,1
741,0.8,0,1
742,0.932,0,1
743,0.982,0,1
744,0.513,0,1
745,0.3,0,1
746,0.255,0,1
747,0.834,0,1
748,0.873,0,1
749,0.551,0,1
750,0.494,0,1
751,0.772,0,1
752,0.691,0,1
753,0.948,0,1
754,0.854,0,1
755,0.821,0,1
756,0.853,0,1
757,0.928,0,1
758,0.894,0,1
759,0.701,0,1
760,0.953,0,1
761,0.877,0,1
762,0.764,0,1
763,0.576,0,1
764,0.561,0,1
765,0.839,0,1
766,0.539,0,1
767,0.721,0,1
768,0.603,0,1
769,0.575,0,1
770,0.701,0,1
771,0.761,0,1
772,0.572,0,1
773,0.68,0,1
774,0.789,0,1
775,0.732,0,1
776,0.581,0,1
777,0.61,0,1
778,0.634,0,1
779,0.171,0,1
780,0.885,0,1
781,0.803,0,1
782,0.882,0,1
783,0.676,0,1
784,0.646,0,1
785,0.106,0,1
786,0.636,0,1
787,0.791,0,1
788,0.593,0,1
789,0.563,0,1
790,0.806,0,1
791,0.31,0,1
792,0.703,0,1
793,0.764,0,1
794,0.725,0,1
795,0.822,0,1
796,0.608,0,1
797,0.705,0,1
798,0.617,0,1
799,0.615,0,1
800,0.777,0,1
801,0.638,0,1
802,0.627,0,1
803,0.398,0,1
804,0.891,0,1
805,0.902,0,1
806,0.718,0,1
807,0.659,0,1
808,0.779,0,1
809,0.76,0,1
810,0.459,0,1
811,0.886,0,1
812,0.876,0,1
813,0.684,0,1
814,0.642,0,1
815,0.139,0,1
816,0.821,0,1
817,0.823,0,1
818,0.585,0,1
819,0.718,0,1
820,0.724,0,1
821,0.146,0,1
822,0.74,0,1
823,0.902,0,1
824,0.881,0,1
825,0.647,0,1
826,0.837,0,1
827,0.751,0,1
828,0.64,0,1
829,0.829,0,1
830,0.81,0,1
831,0.734,0,1
832,0.678,0,1
833,0.849,0,1
834,0.897,0,1
835,0.896,0,1
836,0.765,0,1
837,0.933,0,1
838,0.784,0,1
839,0.952,0,1
840,0.826,0,1
841,0.301,0,1
842,0.134,0,1
843,0.789,0,1
844,0.608,0,1
845,0.711,0,1
846,0.503,0,1
847,0.466,0,1
848,0.653,0,1
849,0.653,0,1
850,0.712,0,1
851,0.318,0,1
852,0.756,0,1
853,0.824,0,1
854,0.477,0,1
855,0.473,0,1
856,0.605,0,1
857,0.848,0,1
858,0.518,0,1
859,0.207,0,1
860,0.8,0,1
861,0.693,0,1
862,0.78,0,1
863,0.799,0,1
864,0.311,0,1
865,0.76,0,1
866,0.566,0,1
867,0.798,0,1
868,0.819,0,1
869,0.377,0,1
870,0.749,0,1
871,0.405,0,1
872,0.754,0,1
873,0.267,0,1
874,0.759,0,1
875,0.791,0,1
876,0.585,0,1
877,0.443,0,1
878,0.621,0,1
879,0.858,0,1
880,0.827,0,1
881,0.063,0,1
882,0.865,0,1
883,0.587,0,1
884,0.86,0,1
885,0.904,0,1
886,0.86,0,1
887,0.513,0,1
888,0.707,0,1
889,0.751,0,1
890,0.614,0,1
891,0.881,0,1
892,0.635,0,1
893,0.841,0,1
894,0.587,0,1
895,0.335,0,1
896,0.786,0,1
897,0.742,0,1
898,0.521,0,1
899,0.747,0,1
900,0.939,0,1
901,0.697,0,1
902,0.673,0,1
903,0.59,0,1
904,0.872,0,1
905,0.902,0,1
906,0.538,0,1
907,0.37,0,1
908,0.546,0,1
909,0.491,0,1
910,0.764,0,1
911,0.949,0,1
912,0.31,0,1
913,0.74,0,1
914,0.753,0,1
915,0.766,0,1
