attack, type, model, C. 0 P, C. 0 R, C. 0 F1, C. 1 P, C. 1 R, C. 1 F1, Accuracy
confidence, DT, regularize, 0.49, 0.47, 0.48, 0.49, 0.51, 0.50, 0.49
confidence, DT, overfitted, 0.51, 0.55, 0.53, 0.51, 0.47, 0.49, 0.51
confidence, RF, regularize, 0.51, 0.98, 0.67, 0.73, 0.04, 0.08, 0.51
confidence, RF, overfitted, 0.86, 0.90, 0.88, 0.90, 0.86, 0.88, 0.88
confidence, NN, regularize, 0.51, 0.73, 0.60, 0.52, 0.30, 0.38, 0.51
confidence, NN, overfitted, 0.58, 0.58, 0.58, 0.58, 0.59, 0.58, 0.58
lblonly, DT, regularize, 0.71, 0.39, 0.51, 0.58, 0.84, 0.69, 0.62
lblonly, DT, overfitted, 1.00, 0.41, 0.58, 0.63, 1.00, 0.77, 0.70
lblonly, RF, regularize, 0.76, 0.20, 0.31, 0.54, 0.94, 0.68, 0.57
lblonly, RF, overfitted, 1.00, 0.22, 0.36, 0.56, 1.00, 0.72, 0.61
lblonly, NN, regularize, 0.57, 0.12, 0.19, 0.51, 0.91, 0.65, 0.51
lblonly, NN, overfitted, 1.00, 0.14, 0.25, 0.54, 1.00, 0.70, 0.57
my lblonly, DT, regularize, 0.58, 0.70, 0.64, 0.62, 0.49, 0.55, 0.60
my lblonly, DT, overfitted, 0.69, 0.65, 0.67, 0.67, 0.70, 0.69, 0.68
my lblonly, RF, regularize, 0.69, 0.18, 0.29, 0.53, 0.92, 0.67, 0.55
my lblonly, RF, overfitted, 0.96, 0.20, 0.34, 0.55, 0.99, 0.71, 0.60
my lblonly, NN, regularize, 0.54, 0.15, 0.24, 0.51, 0.87, 0.64, 0.51
my lblonly, NN, overfitted, 1.00, 0.18, 0.30, 0.55, 1.00, 0.71, 0.59